#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:45:04.419602,20.031177899211798,-17.195780160191703,30.10471375908764
2023-01-10 13:45:04.830963,20.026833099830583,-17.19901849276596,30.102264872163687
2023-01-10 13:45:05.245101,20.032283848145198,-17.19546422530641,30.102975839335162
2023-01-10 13:45:05.672869,20.028413026878297,-17.194358453207883,30.105424726259116
2023-01-10 13:45:06.110406,20.030308939335555,-17.196254062519643,30.103291824744698
2023-01-10 13:45:06.524600,20.03188886638327,-17.19759678578214,30.0994210034778
2023-01-10 13:45:06.940448,20.03078291744987,-17.192699795060093,30.098394050896786
2023-01-10 13:45:07.366125,20.029755964868855,-17.198702557880665,30.104002791916173
2023-01-10 13:45:07.803730,20.027149085240126,-17.195543209027733,30.100289963354044
2023-01-10 13:45:08.230679,20.031414888268955,-17.200677150913748,30.097841076430086
2023-01-10 13:45:08.655589,20.03963050891707,-17.202335809061537,30.20985790411305
2023-01-10 13:45:09.079350,20.041052443260014,-17.202098857897568,30.803594488644194
2023-01-10 13:45:09.505714,20.045713228050772,-17.20123003696301,30.804305455815665
2023-01-10 13:45:09.969014,20.047846129565187,-17.204468369537267,30.804068466758512
2023-01-10 13:45:10.393826,20.044054304650672,-17.20573210907844,30.800671623605925
2023-01-10 13:45:10.820159,20.044686275469758,-17.202967678832124,30.79348295553882
2023-01-10 13:45:11.248645,20.049031074850973,-17.20265174394683,30.792456002957806
2023-01-10 13:45:11.673302,20.04982103837483,-17.20644296257035,30.79616883151994
2023-01-10 13:45:12.103697,20.047372151450872,-17.197991704388755,30.789138156157602
2023-01-10 13:45:12.556886,20.04484426817453,-17.203678532324034,30.79127105767202
2023-01-10 13:45:12.987758,20.04239538125057,-17.201309020684334,30.795773849758007
2023-01-10 13:45:13.410063,20.04539724264123,-17.20359954860271,30.79308797377689
2023-01-10 13:45:13.882610,20.038998538097985,-17.20265174394683,30.6839940111322
2023-01-10 13:45:14.303728,20.03410076425007,-17.200124264864485,30.094128247867957
2023-01-10 13:45:14.727010,20.034416749659613,-17.197201867175522,30.094128247867957
2023-01-10 13:45:15.152623,20.028808008640226,-17.194832355535823,30.094128247867957
2023-01-10 13:45:15.577193,20.03631266211687,-17.197912720667432,30.091047390124913
2023-01-10 13:45:16.002769,20.0350487204787,-17.19925544392993,30.093733266106028
2023-01-10 13:45:16.426241,20.03536470588824,-17.1923838601748,30.09570817491567
2023-01-10 13:45:16.859059,20.044370290060215,-17.19688593229023,30.089467463077195
2023-01-10 13:45:17.291481,20.045476238993615,-17.201861906733598,30.089546459429585
2023-01-10 13:45:17.753460,20.042316384898186,-17.194595404371853,30.09183735364877
2023-01-10 13:45:18.203706,20.036944632935956,-17.201309020684334,30.083384743943498
2023-01-10 13:45:18.636922,20.036391658469256,-17.20383649976668,30.198482429369506
2023-01-10 13:45:19.070224,20.058826622546803,-17.19933442765125,30.785188338538315
2023-01-10 13:45:19.502363,20.05092698730823,-17.206837881176966,30.791034068614863
2023-01-10 13:45:19.937815,20.053928848698888,-17.204626336979914,30.79016510873862
